layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv5,126,conv5_126,789226,342484890,1
conv3,28,conv3_28,825216,204414910,274
conv7,381,conv7_381,530182,189261648,0
conv8,78,conv8_78,619068,31903008,0
conv7,150,conv7_150,562482,202946252,0
conv8,263,conv8_263,572703,27536024,0
conv5,14,conv5_14,813416,339141044,1
conv3,222,conv3_222,820111,176639396,13
conv5,511,conv5_511,823342,371398480,2
conv7,504,conv7_504,807478,307425296,0
conv5,452,conv5_452,819610,353010625,0
conv7,67,conv7_67,543664,204416116,0
conv6,33,conv6_33,759717,239549665,0
conv4,213,conv4_213,825177,389610802,0
conv5,183,conv5_183,823723,358693234,0
conv8,251,conv8_251,729605,41706944,0
conv7,401,conv7_401,548699,198470178,0
conv8,20,conv8_20,530696,22918355,0
conv5,7,conv5_7,821622,362931497,0
conv5,501,conv5_501,726485,282937062,0
conv7,42,conv7_42,634536,234037190,0
conv7,35,conv7_35,616770,224337588,0
conv3,53,conv3_53,825228,202669539,275
conv7,373,conv7_373,493713,179346905,0
conv5,51,conv5_51,824832,374224535,3
conv6,157,conv6_157,812435,255188034,0
conv6,285,conv6_285,807034,267147778,0
conv5,412,conv5_412,813304,340242372,0
conv7,167,conv7_167,526186,191814168,0
conv5,259,conv5_259,824288,374877431,0
conv5,290,conv5_290,765286,326901005,0
conv7,247,conv7_247,586647,222987764,0
conv7,134,conv7_134,578464,212488131,0
conv8,304,conv8_304,653982,34718785,0
conv7,33,conv7_33,605457,213185132,0
conv8,452,conv8_452,763288,63590511,0
conv2,125,conv2_125,825230,185034747,54
conv6,103,conv6_103,649313,188512051,0
conv6,476,conv6_476,734884,226792372,0
conv5,441,conv5_441,739669,312398320,0
conv5,384,conv5_384,791627,320465788,0
conv6,282,conv6_282,808315,257182828,0
conv6,426,conv6_426,771528,243247830,0
conv8,495,conv8_495,716229,44090854,0
conv7,351,conv7_351,567085,217680742,0
conv3,249,conv3_249,825230,202856496,106
conv7,214,conv7_214,590913,216104181,0
conv5,15,conv5_15,822134,368824942,0
conv5,334,conv5_334,822434,360387287,0
conv8,259,conv8_259,750802,55727560,0
conv3,251,conv3_251,752317,142320267,1
conv5,144,conv5_144,819087,361340910,3
conv7,319,conv7_319,598142,227258976,0
conv4,134,conv4_134,825165,389822701,0
conv6,436,conv6_436,806895,242512315,0
conv5,310,conv5_310,814599,357298347,0
conv8,401,conv8_401,619409,30367814,0
conv6,271,conv6_271,764110,226338883,0
conv5,143,conv5_143,791424,324114695,2
conv3,181,conv3_181,825199,205203632,18
conv7,0,conv7_0,609602,235283515,0
conv8,21,conv8_21,636405,32682773,0
conv8,32,conv8_32,728751,47038423,0
conv5,159,conv5_159,823394,366724719,2
conv8,144,conv8_144,640716,32542200,0
conv6,29,conv6_29,795157,252524659,0
conv3,64,conv3_64,825218,195738340,0
conv7,288,conv7_288,553997,212042596,0
conv7,384,conv7_384,519771,185453723,0
conv5,180,conv5_180,820341,367117098,0
conv3,60,conv3_60,825230,197435958,0
conv7,23,conv7_23,566937,198960530,0
conv5,236,conv5_236,820097,353633029,50
conv7,269,conv7_269,507713,195562105,0
conv7,374,conv7_374,452484,164637302,0
conv7,332,conv7_332,649358,238095920,0
conv7,358,conv7_358,538711,194650209,0
conv8,384,conv8_384,681514,33664748,0
conv6,328,conv6_328,792469,251280611,0
conv5,53,conv5_53,808595,359215279,0
conv7,286,conv7_286,542934,210122930,0
conv2,33,conv2_33,825191,189095422,120
conv5,97,conv5_97,820829,369311317,1
conv6,462,conv6_462,810372,244245845,0
conv4,111,conv4_111,825219,381792018,0
conv8,142,conv8_142,697931,41675931,0
conv5,36,conv5_36,818430,354958176,0
conv6,287,conv6_287,747205,229639346,0
conv7,52,conv7_52,524711,191662082,0
conv8,328,conv8_328,682300,38719710,0
conv7,76,conv7_76,623362,232601771,0
conv4,45,conv4_45,825050,386781207,0
conv7,159,conv7_159,542961,207281226,0
conv5,497,conv5_497,813698,334456715,0
conv8,369,conv8_369,624164,32416777,0
conv7,165,conv7_165,599035,208592774,0
conv4,201,conv4_201,825189,380605228,0
conv6,135,conv6_135,786363,247663265,0
conv3,65,conv3_65,825188,187210123,0
conv7,405,conv7_405,604273,227640674,0
conv5,282,conv5_282,820902,364876454,1
conv8,135,conv8_135,671437,41067560,0
conv8,61,conv8_61,696545,38079864,0
conv5,338,conv5_338,808224,357486443,0
conv6,419,conv6_419,800582,255205274,0
conv3,100,conv3_100,825228,203066863,0
conv2,119,conv2_119,825230,204067947,0
conv4,141,conv4_141,825156,386823794,0
conv7,272,conv7_272,518888,186934180,0
conv8,302,conv8_302,644250,38533106,0
conv8,159,conv8_159,568982,29199581,0
conv3,197,conv3_197,825220,203794405,0
conv5,172,conv5_172,817654,361470898,0
conv8,174,conv8_174,746966,53184071,0
conv6,154,conv6_154,731282,212251317,0
conv8,128,conv8_128,536417,26268011,0
conv6,137,conv6_137,818447,229491989,0
conv7,252,conv7_252,624049,229423944,0
conv8,121,conv8_121,598334,33404657,0
conv4,232,conv4_232,825170,389430548,0
conv7,418,conv7_418,545998,207426177,0
conv3,86,conv3_86,825120,198860372,0
conv6,16,conv6_16,761400,227777700,0
conv8,273,conv8_273,627555,32128608,0
conv4,53,conv4_53,824011,378265531,0
conv6,76,conv6_76,761992,229377217,0
conv2,80,conv2_80,825138,194099873,1
conv3,124,conv3_124,825203,201264143,2
conv6,11,conv6_11,746542,232127722,0
conv5,82,conv5_82,806952,349488716,0
conv5,469,conv5_469,778292,342616774,4
conv5,302,conv5_302,809384,351180018,1
conv5,464,conv5_464,824540,372312939,0
conv1,4,conv1_4,816978,58370299,3
conv7,482,conv7_482,490040,186522349,0
conv8,29,conv8_29,616759,30778025,0
conv3,63,conv3_63,825219,199181172,30
conv6,378,conv6_378,760526,236201109,0
conv7,330,conv7_330,672965,261157692,0
conv6,145,conv6_145,122591,44168874,0
conv5,494,conv5_494,823614,368287121,0
conv4,139,conv4_139,825206,382741935,4
conv7,39,conv7_39,564925,204175626,0
conv7,8,conv7_8,467031,176729382,0
conv7,410,conv7_410,519172,195207330,0
conv3,66,conv3_66,825228,202071214,0
conv7,270,conv7_270,543774,205683443,0
conv6,93,conv6_93,772634,239157185,0
conv6,66,conv6_66,731266,229628194,0
conv3,236,conv3_236,825229,204852978,693
conv5,118,conv5_118,814964,360942040,7
conv4,17,conv4_17,825197,393539505,0
conv8,502,conv8_502,692789,34444996,0
conv7,34,conv7_34,422377,141070303,0
conv7,474,conv7_474,573072,214432392,0
conv7,242,conv7_242,660251,229261496,0
conv5,227,conv5_227,823630,349283866,0
conv8,83,conv8_83,663953,38700779,0
conv3,158,conv3_158,816899,165169406,28
conv5,154,conv5_154,823834,366039661,1
conv5,139,conv5_139,825153,366761002,0
conv4,34,conv4_34,824234,384797181,1
conv6,265,conv6_265,782574,249182421,0
conv5,174,conv5_174,772931,286907435,0
conv5,28,conv5_28,817654,339219643,1
conv6,167,conv6_167,782141,234646504,0
conv4,76,conv4_76,825210,382228991,0
conv5,492,conv5_492,778176,348771938,0
conv5,166,conv5_166,804164,324357554,1
conv6,441,conv6_441,741084,225628797,0
conv7,476,conv7_476,576663,205049918,0
conv8,500,conv8_500,753933,65328104,0
conv8,8,conv8_8,639087,35595501,0
conv8,24,conv8_24,684764,36384057,0
conv5,442,conv5_442,824962,370628922,0
conv6,171,conv6_171,769569,228468854,0
conv6,470,conv6_470,759238,238921713,0
conv3,147,conv3_147,825228,199153417,0
conv3,144,conv3_144,825221,203866502,5
conv4,40,conv4_40,825064,380758982,1
conv6,323,conv6_323,258589,87335329,0
conv7,149,conv7_149,560734,202365263,0
conv7,43,conv7_43,539587,200249785,0
conv7,372,conv7_372,545055,207949986,0
conv4,136,conv4_136,825202,387979459,0
conv2,98,conv2_98,825223,201467980,149
conv6,408,conv6_408,787459,243632328,0
conv8,313,conv8_313,664098,37411727,0
conv7,15,conv7_15,544525,200359551,0
conv7,155,conv7_155,611112,223006153,0
conv3,174,conv3_174,825230,203698099,0
conv4,52,conv4_52,825177,388079718,0
conv6,175,conv6_175,706985,215043114,0
conv3,218,conv3_218,825226,202745860,0
conv8,214,conv8_214,716122,44571692,0
conv8,170,conv8_170,643156,34208774,0
conv6,119,conv6_119,778028,218434387,0
conv6,3,conv6_3,797469,246185523,0
conv8,17,conv8_17,653626,37407831,0
conv1,13,conv1_13,775720,74555030,4
conv6,127,conv6_127,74743,26669595,0
conv7,302,conv7_302,447105,167888577,0
conv1,21,conv1_21,825226,79816790,0
conv6,110,conv6_110,776753,246574519,0
conv7,248,conv7_248,536722,193636292,0
conv8,123,conv8_123,639567,32648566,0
conv8,47,conv8_47,598865,28036012,0
conv5,377,conv5_377,752643,316722678,0
conv2,50,conv2_50,825230,199334134,17
conv4,161,conv4_161,825166,391289157,0
conv6,354,conv6_354,751730,231532999,0
conv4,36,conv4_36,825204,390391494,0
conv2,53,conv2_53,825229,199893160,8
conv7,88,conv7_88,510425,185366657,0
conv7,399,conv7_399,548135,186359991,0
conv6,338,conv6_338,773958,233373587,0
conv8,241,conv8_241,683997,38171542,0
conv6,254,conv6_254,810890,251393943,0
conv6,123,conv6_123,743700,230990252,0
conv8,227,conv8_227,687357,39982430,0
conv8,283,conv8_283,657556,35694506,0
conv3,19,conv3_19,825230,202567907,14
conv5,408,conv5_408,795261,346209504,1
conv2,107,conv2_107,825230,201010402,1
conv7,380,conv7_380,568019,191047856,0
conv8,257,conv8_257,722930,47245976,0
conv6,409,conv6_409,752845,224002036,0
conv8,34,conv8_34,722396,46457124,0
conv8,165,conv8_165,710275,40825036,0
conv6,465,conv6_465,761925,228441738,0
conv5,316,conv5_316,822153,347065257,0
conv4,62,conv4_62,825205,375975211,0
conv3,14,conv3_14,825230,198601323,0
conv6,329,conv6_329,806646,258743408,0
conv3,220,conv3_220,825229,205141402,91
conv4,242,conv4_242,825220,385336522,1
conv7,333,conv7_333,669501,246378665,0
conv4,236,conv4_236,825065,376592706,0
conv1,1,conv1_1,825181,87515065,112
conv6,150,conv6_150,739048,229619247,0
conv5,346,conv5_346,812700,346947356,0
conv7,506,conv7_506,524861,197422044,0
conv6,459,conv6_459,805423,257197194,0
conv8,388,conv8_388,659406,34680412,0
conv7,46,conv7_46,518285,194597827,0
conv5,416,conv5_416,721664,297883283,0
